Sentence,SentenceKey,YesRate,ConsensusScore,GoldLabel,Sentence_text,Metaphor,Derived metaphor,Category,subcategory,sentence,Source
"Jason Chesney, of the University of Louisville, Kentucky, used the body's own defences to fight the melanoma in his patients","jason chesney, of the university of louisville, kentucky, used the body's own defences to fight the melanoma in his patients",6.666.666.666.666.660,33.333.333.333.333.300,yes,"Jason Chesney, of the University of Louisville, Kentucky, used the body's own defences to fight the melanoma in his patients",MEDICINE_IS_WAR,,,,"Jason Chesney, of the University of Louisville, Kentucky, used the body's own defences to fight the melanoma in his patients","theguardian.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
the nearly palindromic oligonucleotide ATCACTCAT,the nearly palindromic oligonucleotide atcactcat,0.0,1.0,no,the nearly palindromic oligonucleotide ATCACTCAT,A_GENOME_IS_A_TEXT,,,Text,the nearly palindromic oligonucleotide ATCACTCAT,Metaphors in medical texts
"The ultimate goal of metastasis prevention would be the selective eradication of established metastases, perhaps by targeting toxic agents to the metastatic foci.","the ultimate goal of metastasis prevention would be the selective eradication of established metastases, perhaps by targeting toxic agents to the metastatic foci.",0.5,0.0,Tie,"The ultimate goal of metastasis prevention would be the selective eradication of established metastases, perhaps by targeting toxic agents to the metastatic foci.",MANY_ENTITIES_ARE_CAUSATIVE_AGENTS,,,Agents,"The ultimate goal of metastasis prevention would be the selective eradication of established metastases, perhaps by targeting toxic agents to the metastatic foci.",Metaphors in medical texts
Mountain dew tastes like diabetes and depression,mountain dew tastes like diabetes and depression,1.0,1.0,yes,Mountain dew tastes like diabetes and depression,DIABETES IS AN OBJECT,,Development of disease,,Mountain dew tastes like diabetes and depression,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
"On Twitter, he cited","on twitter, he cited",1.0,1.0,yes,"On Twitter, he cited",,,,,,
cancer elements gain access,cancer elements gain access,6.666.666.666.666.660,33.333.333.333.333.300,yes,cancer elements gain access,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,cancer elements gain access,Metaphors in medical texts
a new way to regulate a key family of proteins involved in cell crawling that will change the way researchers see current models of cell migration - an important aspect of the spread of cancer.”,a new way to regulate a key family of proteins involved in cell crawling that will change the way researchers see current models of cell migration - an important aspect of the spread of cancer.,0.5,0.0,Tie,a new way to regulate a key family of proteins involved in cell crawling that will change the way researchers see current models of cell migration - an important aspect of the spread of cancer.”,CANCER_CELLS_ARE_ANIMALS,,,,a new way to regulate a key family of proteins involved in cell crawling that will change the way researchers see current models of cell migration - an important aspect of the spread of cancer.”,"The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
A Scottish woman who astonished doctors with her ability to detect Parkinson's disease through smell has helped scientists find what causes the odour,a scottish woman who astonished doctors with her ability to detect parkinson's disease through smell has helped scientists find what causes the odour,0.0,1.0,no,A Scottish woman who astonished doctors with her ability to detect Parkinson's disease through smell has helped scientists find what causes the odour,MEDICINE_IS_A_DETECTIVE_STORY,,,,A Scottish woman who astonished doctors with her ability to detect Parkinson's disease through smell has helped scientists find what causes the odour,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
A complex of several proteins is associated with some receptors across the membrane and is proposed to act as a signaling mechanism,a complex of several proteins is associated with some receptors across the membrane and is proposed to act as a signaling mechanism,6.666.666.666.666.660,33.333.333.333.333.300,yes,A complex of several proteins is associated with some receptors across the membrane and is proposed to act as a signaling mechanism,A_CELL_IS_A_MACHINE,,,Machine and mechanism,A complex of several proteins is associated with some receptors across the membrane and is proposed to act as a signaling mechanism,Metaphors in medical texts
one now looks forward with confidence to integration of these elements into the cancer puzzle,one now looks forward with confidence to integration of these elements into the cancer puzzle,1.0,1.0,yes,one now looks forward with confidence to integration of these elements into the cancer puzzle,ISOLATED_METAPHORS,,,Isolated metaphors,one now looks forward with confidence to integration of these elements into the cancer puzzle,Metaphors in medical texts
"There are, however, additional pathways, the so-called second messengers, that are also important in signal transduction","there are, however, additional pathways, the so-called second messengers, that are also important in signal transduction",0.5,0.0,Tie,"There are, however, additional pathways, the so-called second messengers, that are also important in signal transduction",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,"Communication, signals and messengers","There are, however, additional pathways, the so-called second messengers, that are also important in signal transduction",Metaphors in medical texts
The dance he has choreographed for me was riddled with mis-matched moves.,the dance he has choreographed for me was riddled with mis-matched moves.,1.0,1.0,yes,The dance he has choreographed for me was riddled with mis-matched moves.,LIFE IS A PLAY,CANCER OFFERS NEW ROLES IN A PLAY,,,The dance he has choreographed for me was riddled with mis-matched moves.," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_44"
I do not want to feel a failure about something beyond my control. I refuse to believe my death will be because I didn't battle hard enough.,i do not want to feel a failure about something beyond my control. i refuse to believe my death will be because i didn't battle hard enough.,1.0,1.0,yes,I do not want to feel a failure about something beyond my control. I refuse to believe my death will be because I didn't battle hard enough.,DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,I do not want to feel a failure about something beyond my control. I refuse to believe my death will be because I didn't battle hard enough.,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
I’m not winning this battle,i'm not winning this battle,1.0,1.0,yes,I’m not winning this battle,DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,I’m not winning this battle,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
I’m grateful for the care I received at CTCA and for the support I had from my family and friends during my treatment.,i'm grateful for the care i received at ctca and for the support i had from my family and friends during my treatment.,0.5,0.0,Tie,I’m grateful for the care I received at CTCA and for the support I had from my family and friends during my treatment.,CANCER_IS_A_BLESSING,,,,I’m grateful for the care I received at CTCA and for the support I had from my family and friends during my treatment.,"THE USE OF CONCEPTUAL METAPHOR IN CANCER  PATIENT STORIES ON A CANCER CENTER WEBSITE Iska Agnesya Fereralda 1 * Shanty A.Y.P.S Duwila, S . S., M.Pd 2 Yulis Setyowati, S.Pd., M.Pd.B.I"
"All of a sudden, it was like the plug had just been pulled in me and I was empty.","all of a sudden, it was like the plug had just been pulled in me and i was empty.",1.0,1.0,yes,"All of a sudden, it was like the plug had just been pulled in me and I was empty.",SELF IS A CONTAINER,CANCER IS A FLUID WITHIN THE SELF CONTAINER,,,"All of a sudden, it was like the plug had just been pulled in me and I was empty."," Raymond W. Gibbs Jr. & Heather Franks (2002) Embodied Metaphor In Women's Narratives About Their Experiences With Cancer, Health Communication, 14:2, 139-165, DOI: 10.1207/S15327027HC1402_9"
This was four days before the WHO's China country office was informed of cases of pneumonia of unknown cause being detected in the Chinese city of Wuhan,this was four days before the who's china country office was informed of cases of pneumonia of unknown cause being detected in the chinese city of wuhan,0.0,1.0,no,This was four days before the WHO's China country office was informed of cases of pneumonia of unknown cause being detected in the Chinese city of Wuhan,MEDICINE_IS_A_DETECTIVE_STORY,,,,This was four days before the WHO's China country office was informed of cases of pneumonia of unknown cause being detected in the Chinese city of Wuhan,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
It has been shown that cells express specific cell surface receptors that recognize extracellular matrix proteins,it has been shown that cells express specific cell surface receptors that recognize extracellular matrix proteins,0.0,1.0,no,It has been shown that cells express specific cell surface receptors that recognize extracellular matrix proteins,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,It has been shown that cells express specific cell surface receptors that recognize extracellular matrix proteins,Metaphors in medical texts
He said many other organs could be repaired or replaced,he said many other organs could be repaired or replaced,0.0,1.0,no,He said many other organs could be repaired or replaced,HUMAN_BODY_IS_A_BREAKABLE_OBJECT,,,,He said many other organs could be repaired or replaced,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
"An outspoken advocate for mental health awareness, Demi Lovato is open about her battles with bipolar disorder, bulimia, and addiction","an outspoken advocate for mental health awareness, demi lovato is open about her battles with bipolar disorder, bulimia, and addiction",6.666.666.666.666.660,33.333.333.333.333.300,yes,"An outspoken advocate for mental health awareness, Demi Lovato is open about her battles with bipolar disorder, bulimia, and addiction",MEDICINE_IS_WAR,,,,"An outspoken advocate for mental health awareness, Demi Lovato is open about her battles with bipolar disorder, bulimia, and addiction","insidehook.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
Normal stem cells are susceptible to a variety of positively and negatively acting growth factors that provide a growth regulatory feedback network,normal stem cells are susceptible to a variety of positively and negatively acting growth factors that provide a growth regulatory feedback network,6.666.666.666.666.660,33.333.333.333.333.300,yes,Normal stem cells are susceptible to a variety of positively and negatively acting growth factors that provide a growth regulatory feedback network,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,Normal stem cells are susceptible to a variety of positively and negatively acting growth factors that provide a growth regulatory feedback network,Metaphors in medical texts
“You’re keeping them alive hoping that their own immune system fights the virus”,you're keeping them alive hoping that their own immune system fights the virus,6.666.666.666.666.660,33.333.333.333.333.300,yes,“You’re keeping them alive hoping that their own immune system fights the virus”,MEDICINE_IS_WAR,,,,“You’re keeping them alive hoping that their own immune system fights the virus”,"telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
very little is known about the mechanism whereby the signal from the receptor is transduced into a specific biological response within the cell itself,very little is known about the mechanism whereby the signal from the receptor is transduced into a specific biological response within the cell itself,16.666.666.666.666.600,6.666.666.666.666.660,no,very little is known about the mechanism whereby the signal from the receptor is transduced into a specific biological response within the cell itself,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,"Communication, signals and messengers",very little is known about the mechanism whereby the signal from the receptor is transduced into a specific biological response within the cell itself,Metaphors in medical texts
"“We are seeing a range of illness; some people develop blood clots, others heart attacks or kidney failure,”","we are seeing a range of illness; some people develop blood clots, others heart attacks or kidney failure,",3.333.333.333.333.330,33.333.333.333.333.300,no,"“We are seeing a range of illness; some people develop blood clots, others heart attacks or kidney failure,”",MEDICINE_IS_WAR,,,,"“We are seeing a range of illness; some people develop blood clots, others heart attacks or kidney failure,”","telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
A crucial feature of spread consists in the fact that host territory is occupied through destruction,a crucial feature of spread consists in the fact that host territory is occupied through destruction,6.666.666.666.666.660,33.333.333.333.333.300,yes,A crucial feature of spread consists in the fact that host territory is occupied through destruction,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,A crucial feature of spread consists in the fact that host territory is occupied through destruction,Metaphors in medical texts
I’d rather catch diabetes than feels,i'd rather catch diabetes than feels,1.0,1.0,yes,I’d rather catch diabetes than feels,DIABETES IS TRANSMITTABLE,,Development of disease,,I’d rather catch diabetes than feels,Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
A nine-year old boy developed multiple brain and spinal cord tumours following stem cell transplant,a nine-year old boy developed multiple brain and spinal cord tumours following stem cell transplant,0.25,0.5,no,A nine-year old boy developed multiple brain and spinal cord tumours following stem cell transplant,MEDICINE_IS_AGRICULTURE,,,,A nine-year old boy developed multiple brain and spinal cord tumours following stem cell transplant,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
Tumor cell invasion requires crossing tissue compartment barriers such as basement membranes and interstitial connective tissues.,tumor cell invasion requires crossing tissue compartment barriers such as basement membranes and interstitial connective tissues.,1.0,1.0,yes,Tumor cell invasion requires crossing tissue compartment barriers such as basement membranes and interstitial connective tissues.,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,Tumor cell invasion requires crossing tissue compartment barriers such as basement membranes and interstitial connective tissues.,Metaphors in medical texts
"A metastatic tumor cell, in order to be successful, must leave the primary tumor and invade local host tissue.","a metastatic tumor cell, in order to be successful, must leave the primary tumor and invade local host tissue.",6.666.666.666.666.660,33.333.333.333.333.300,yes,"A metastatic tumor cell, in order to be successful, must leave the primary tumor and invade local host tissue.",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Successful tumour cells,"A metastatic tumor cell, in order to be successful, must leave the primary tumor and invade local host tissue.",Metaphors in medical texts
... cycling cells will continue in the proliferative cycle of be switched into G0,... cycling cells will continue in the proliferative cycle of be switched into g0,3.333.333.333.333.330,33.333.333.333.333.300,no,... cycling cells will continue in the proliferative cycle of be switched into G0,A_CELL_IS_A_MACHINE,,,Machine and mechanism,... cycling cells will continue in the proliferative cycle of be switched into G0,Metaphors in medical texts
cell lineages,cell lineages,0.5,0.0,Tie,cell lineages,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",cell lineages,Metaphors in medical texts
DNA Function: Transcription,dna function: transcription,1.0,1.0,yes,DNA Function: Transcription,A_GENOME_IS_A_TEXT,,,Text,DNA Function: Transcription,Metaphors in medical texts
Spontaneously initiated cells...may thus be considered the progenitors of spontaneous nepolasms,spontaneously initiated cells...may thus be considered the progenitors of spontaneous nepolasms,1.0,1.0,yes,Spontaneously initiated cells...may thus be considered the progenitors of spontaneous nepolasms,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",Spontaneously initiated cells...may thus be considered the progenitors of spontaneous nepolasms,Metaphors in medical texts
"Diabetes doesn’t define me, it explains me","diabetes doesn't define me, it explains me",1.0,1.0,yes,"Diabetes doesn’t define me, it explains me",DIABETES IS AN ACTOR,,Experience of disease,,"Diabetes doesn’t define me, it explains me",Content Analysis of Metaphors About Hypertension and Diabetes on Twitter: Exploratory Mixed-Methods Study
protective mechanisms,protective mechanisms,0.5,0.0,Tie,protective mechanisms,A_CELL_IS_A_MACHINE,,,Machine and mechanism,protective mechanisms,Metaphors in medical texts
"I went for an ultrasound at the Royal Free Hospital, confirming it wasn’t gallstones – but I also had a blood test, which showed my inflammation rate was high, and my platelet count low","i went for an ultrasound at the royal free hospital, confirming it wasn't gallstones – but i also had a blood test, which showed my inflammation rate was high, and my platelet count low",3.333.333.333.333.330,33.333.333.333.333.300,no,"I went for an ultrasound at the Royal Free Hospital, confirming it wasn’t gallstones – but I also had a blood test, which showed my inflammation rate was high, and my platelet count low",MEDICINE_IS_A_DETECTIVE_STORY,,,,"I went for an ultrasound at the Royal Free Hospital, confirming it wasn’t gallstones – but I also had a blood test, which showed my inflammation rate was high, and my platelet count low","telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
the diversity of agents that cause cancer,the diversity of agents that cause cancer,0.0,1.0,no,the diversity of agents that cause cancer,MANY_ENTITIES_ARE_CAUSATIVE_AGENTS,,,Agents,the diversity of agents that cause cancer,Metaphors in medical texts
There is no really effective drug which can be given after surgery that would help to mop up the cancer cells.,there is no really effective drug which can be given after surgery that would help to mop up the cancer cells.,1.0,1.0,yes,There is no really effective drug which can be given after surgery that would help to mop up the cancer cells.,CANCER_IS_DIRT,,,,There is no really effective drug which can be given after surgery that would help to mop up the cancer cells.,"The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
Doctors say there is no evidence the disease has spread elsewhere,doctors say there is no evidence the disease has spread elsewhere,0.25,0.5,no,Doctors say there is no evidence the disease has spread elsewhere,MEDICINE_IS_A_DETECTIVE_STORY,,,,Doctors say there is no evidence the disease has spread elsewhere,"theguardian.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
"A patient treated in a hospital near Paris on 27 December for suspected pneumonia actually had the coronavirus, his doctor has said","a patient treated in a hospital near paris on 27 december for suspected pneumonia actually had the coronavirus, his doctor has said",0.0,1.0,no,"A patient treated in a hospital near Paris on 27 December for suspected pneumonia actually had the coronavirus, his doctor has said",MEDICINE_IS_A_DETECTIVE_STORY,,,,"A patient treated in a hospital near Paris on 27 December for suspected pneumonia actually had the coronavirus, his doctor has said","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
"“Despite intense scientific research over the past 20 years, there have been few new leads in our understanding of how this disease operates”.","despite intense scientific research over the past 20 years, there have been few new leads in our understanding of how this disease operates"".",3.333.333.333.333.330,33.333.333.333.333.300,no,"“Despite intense scientific research over the past 20 years, there have been few new leads in our understanding of how this disease operates”.",CANCER_IS_THE_ENIGMA_OF_A_DETECTIVE_STORY,,,,"“Despite intense scientific research over the past 20 years, there have been few new leads in our understanding of how this disease operates”.","The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
"It's sad that anyone, but especially younger people like yourself, find themself with this battle to fight.","it's sad that anyone, but especially younger people like yourself, find themself with this battle to fight.",1.0,1.0,yes,"It's sad that anyone, but especially younger people like yourself, find themself with this battle to fight.",DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,"It's sad that anyone, but especially younger people like yourself, find themself with this battle to fight.","

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
an increased escape of cancer cells in the blood stream,an increased escape of cancer cells in the blood stream,1.15,0.5,yes,an increased escape of cancer cells in the blood stream,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,an increased escape of cancer cells in the blood stream,Metaphors in medical texts
a battering from chemo,a battering from chemo,1.0,1.0,yes,a battering from chemo,DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,a battering from chemo,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
This metabolic machinery...,this metabolic machinery...,0.5,0.0,Tie,This metabolic machinery...,A_CELL_IS_A_MACHINE,,,Machine and mechanism,This metabolic machinery...,Metaphors in medical texts
Tumor lifespan,tumor lifespan,0.5,0.0,Tie,Tumor lifespan,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,Attributes and behaviour of cells,Life and lifespan,Tumor lifespan,Metaphors in medical texts
"Most of the restriction enzymes...recognize either six, five, or four nucleotide base pairs of DNA sequence","most of the restriction enzymes...recognize either six, five, or four nucleotide base pairs of dna sequence",0.0,1.0,Tie,"Most of the restriction enzymes...recognize either six, five, or four nucleotide base pairs of DNA sequence",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,"Most of the restriction enzymes...recognize either six, five, or four nucleotide base pairs of DNA sequence",Metaphors in medical texts
continued invasion of the matrix may take place by cyclic repetition of these three steps.,continued invasion of the matrix may take place by cyclic repetition of these three steps.,0.5,0.0,Tie,continued invasion of the matrix may take place by cyclic repetition of these three steps.,CARCINOGENESIS/METASTASIS_CONSIST_OF_SEVERAL_STEPS,,,Steps and stages,continued invasion of the matrix may take place by cyclic repetition of these three steps.,Metaphors in medical texts
"During the process of invasion, tumor cells must traverse these barriers to cross tissue boundaries","during the process of invasion, tumor cells must traverse these barriers to cross tissue boundaries",1.0,1.0,yes,"During the process of invasion, tumor cells must traverse these barriers to cross tissue boundaries",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,"During the process of invasion, tumor cells must traverse these barriers to cross tissue boundaries",Metaphors in medical texts
Cancer and the fighting of it is something to be very proud of.,cancer and the fighting of it is something to be very proud of.,1.0,1.0,yes,Cancer and the fighting of it is something to be very proud of.,DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,Cancer and the fighting of it is something to be very proud of.,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
T cells...recognize antigen via receptor molecules,t cells...recognize antigen via receptor molecules,0.0,1.0,no,T cells...recognize antigen via receptor molecules,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,T cells...recognize antigen via receptor molecules,Metaphors in medical texts
These antibodies recognize products that are normally expressed early in fetal life...,these antibodies recognize products that are normally expressed early in fetal life...,0.25,0.5,no,These antibodies recognize products that are normally expressed early in fetal life...,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Recognizing things,These antibodies recognize products that are normally expressed early in fetal life...,Metaphors in medical texts
This allows representative genomic libraries to be constructed that are fewer in number than lambda phage genomic libraries.,this allows representative genomic libraries to be constructed that are fewer in number than lambda phage genomic libraries.,0.25,0.5,no,This allows representative genomic libraries to be constructed that are fewer in number than lambda phage genomic libraries.,A_GENOME_IS_A_TEXT,,,Text,This allows representative genomic libraries to be constructed that are fewer in number than lambda phage genomic libraries.,Metaphors in medical texts
tumor invasion,tumor invasion,1.0,1.0,yes,tumor invasion,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_INVADE_AND_COLONIZE,,Colonization and invasion,tumor invasion,Metaphors in medical texts
"When we come to CTCA, the staff remembers our names and why we are there.","when we come to ctca, the staff remembers our names and why we are there.",3.333.333.333.333.330,33.333.333.333.333.300,no,"When we come to CTCA, the staff remembers our names and why we are there.",CANCER_IS_JOURNEY,,,,"When we come to CTCA, the staff remembers our names and why we are there.","THE USE OF CONCEPTUAL METAPHOR IN CANCER  PATIENT STORIES ON A CANCER CENTER WEBSITE Iska Agnesya Fereralda 1 * Shanty A.Y.P.S Duwila, S . S., M.Pd 2 Yulis Setyowati, S.Pd., M.Pd.B.I"
"Host defenses also may destroy some tumor cells, causing some cell loss","host defenses also may destroy some tumor cells, causing some cell loss",0.5,0.0,Tie,"Host defenses also may destroy some tumor cells, causing some cell loss",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,"Host defenses also may destroy some tumor cells, causing some cell loss",Metaphors in medical texts
"How and when the switching on and off of genes occurs, ... and what outside mechanisms can alter cell behavior via changes in gene regulation are key questions currenly being addressed.","how and when the switching on and off of genes occurs, ... and what outside mechanisms can alter cell behavior via changes in gene regulation are key questions currenly being addressed.",0.0,1.0,no,"How and when the switching on and off of genes occurs, ... and what outside mechanisms can alter cell behavior via changes in gene regulation are key questions currenly being addressed.",A_CELL_IS_A_MACHINE,,,Machine and mechanism,"How and when the switching on and off of genes occurs, ... and what outside mechanisms can alter cell behavior via changes in gene regulation are key questions currenly being addressed.",Metaphors in medical texts
some tumors have managed to escape immune detection by the ingenious mechanism of decreasing or eliminating their expression of MHC antigens,some tumors have managed to escape immune detection by the ingenious mechanism of decreasing or eliminating their expression of mhc antigens,3.333.333.333.333.330,33.333.333.333.333.300,no,some tumors have managed to escape immune detection by the ingenious mechanism of decreasing or eliminating their expression of MHC antigens,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,TUMOUR_CELLS_ARE_ENEMIES / CANCER_IS_WAR,,Defence and attack,some tumors have managed to escape immune detection by the ingenious mechanism of decreasing or eliminating their expression of MHC antigens,Metaphors in medical texts
tumor lines,tumor lines,1.0,1.0,yes,tumor lines,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",tumor lines,Metaphors in medical texts
"cancer cells subpopulations are not autonomously operating units, but prone to interactions with other subpopulations","cancer cells subpopulations are not autonomously operating units, but prone to interactions with other subpopulations",1.0,1.0,yes,"cancer cells subpopulations are not autonomously operating units, but prone to interactions with other subpopulations",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,TUMOUR_CELLS_ARE_HUMAN_BEINGS_ACTING_INDEPENDENTLY_AND_AUTONOMOUSLY,Normal and uncontrolled behaviour,"cancer cells subpopulations are not autonomously operating units, but prone to interactions with other subpopulations",Metaphors in medical texts
cancer cells demonstrate the ability to circumvent a well-defined pathway of attack to a given cytoxic agent,cancer cells demonstrate the ability to circumvent a well-defined pathway of attack to a given cytoxic agent,0.8,6.000.000.000.000.000,yes,cancer cells demonstrate the ability to circumvent a well-defined pathway of attack to a given cytoxic agent,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,cancer cells demonstrate the ability to circumvent a well-defined pathway of attack to a given cytoxic agent,Metaphors in medical texts
"The codons UAA, UAG and UGA are translation termination signals","the codons uaa, uag and uga are translation termination signals",0.0,1.0,no,"The codons UAA, UAG and UGA are translation termination signals",(TUMOUR)_CELLS_ARE_HUMAN_BEINGS_LIVING_IN_A_SOCIETY,,,"Communication, signals and messengers","The codons UAA, UAG and UGA are translation termination signals",Metaphors in medical texts
If a cell aquires the ability to produce its own growth factors...,if a cell aquires the ability to produce its own growth factors...,3.333.333.333.333.330,33.333.333.333.333.300,no,If a cell aquires the ability to produce its own growth factors...,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,Initiatives and actions,If a cell aquires the ability to produce its own growth factors...,Metaphors in medical texts
the radon and thoron daughters attach to areosol particles,the radon and thoron daughters attach to areosol particles,6.666.666.666.666.660,33.333.333.333.333.300,yes,the radon and thoron daughters attach to areosol particles,(TUMOUR)_CELLS_ARE_HUMAN_BEINGS,,,"Children, parents and families",the radon and thoron daughters attach to areosol particles,Metaphors in medical texts
Imagine having the psychosis and having to have to go to hospital,imagine having the psychosis and having to have to go to hospital,3.333.333.333.333.330,33.333.333.333.333.300,no,Imagine having the psychosis and having to have to go to hospital,DISEASE_IS_A_PHYSICAL_ENTITY,,,,Imagine having the psychosis and having to have to go to hospital,"dailymail.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
