Metaphor,Derived metaphor,Category,subcategory,Example,Source
DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,I’m not winning this battle,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,(related to cancer) do battle,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,(related to cancer) you battle on,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,(related to cancer) ready for battle,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,(related to cancer) sharpening my weapons in case I have to do battle,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,I now have another thing to beat my surgeon up about.,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,what did i think all my normal little cells were doing after being hit by a sledgehammer of both toxic chemicals and radiation.,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,Your words though have given me a bit more of my fighting spirit back. I am ready to kick some cancer butt!,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,"Also it [the online forum] allows me to leave a record for my family, showing them how much I love them and how much I am fighting to stay with them for as long as possible.","

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,I'm new to the forum and wanted to know if there are any other younger bowel cancer fighters amongst us.,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,But the emotional side of cancer and of BC [breast cancer] in particular is the real killer—it strangles and shocks your soul.,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,I feel such a failure that I am not winning this battle.,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,"It's sad that anyone, but especially younger people like yourself, find themself with this battle to fight.","

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,I do not want to feel a failure about something beyond my control. I refuse to believe my death will be because I didn't battle hard enough.,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,ask your chemo nurses or your specialist if your looking for anything that might be of help in your fight against cancer,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
DIFFICULTIES_ARE_OPPONENTS,BEING_ILL_WITH_CANCER_IS_A_VIOLENT_CONFRONTATION_WITH_THE_DISEASE,,,There are certain points in the cancer journey where the plan has to change.,"

Elena Semino, Zsófia Demjén, Jane Demmen, An Integrated Approach to Metaphor and Framing in Cognition, Discourse, and Practice, with an Application to Metaphors for Cancer, Applied Linguistics, Volume 39, Issue 5, October 2018, Pages 625–645, https://doi.org/10.1093/applin/amw028 "
ISOLATED----,,,,Developing treatments that attack cancer cells but leave healthy tissue unharmed is the holy grail of cancer research,"The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
ISOLATED----,,,,"The modified adenovirus exploits what Lawrence Young, who is leading the research project at the University of Birmingham, calls the cancer cell’s “achilles heel”.","The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
ISOLATED----,,,,"The scientists compare their work to the 1799 discovery of the Rosetta Stone, which enabled archaeologists to decipher Egyptian hieroglyphics","The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
CANCER_IS_DIRT,,,,There is no really effective drug which can be given after surgery that would help to mop up the cancer cells.,"The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
CANCER_IS_DIRT,,,,"If chemotherapy does not wipe all of them out, they can slowly begin to produce new cancer cells years later.","The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
CANCER_THERAPIES_ARE_GARMENTS,,,,The discovery gives doctors the first chance to tailor chemotherapy to suit individual children,"The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
CANCER_THERAPIES_ARE_GARMENTS,,,,"a patient would be injected with specially-designed antibodies that are coated in a light-sensitive shell. The coating prevents the antibodies from causing a massive immune reaction throughout the patient’s body. Once the “cloaked” antibodies have been injected, doctors shine ultraviolet light on the tumour","The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
CANCER_CELLS_ARE_ANIMALS,,,,An anti-tumour protein which puts cells into hibernation,"The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
CANCER_CELLS_ARE_ANIMALS,,,,a new way to regulate a key family of proteins involved in cell crawling that will change the way researchers see current models of cell migration - an important aspect of the spread of cancer.”,"The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
BODY_IS_A_MACHINE,(TUMOUR)_CELLS_ARE_A_MACHINE,,,"drugs that target the cells with precision, effectively destroying the engine at the heart of the disease","The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
BODY_IS_A_MACHINE,(TUMOUR)_CELLS_ARE_A_MACHINE,,,The discovery is expected to boost the search for similar cells that drive other types of cancer.,"The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
BODY_IS_A_MACHINE,(TUMOUR)_CELLS_ARE_A_MACHINE,,,"“It’s a little molecular switch [on the cell’s surface],” he said. “If you switch it on it does two things – it induces the cells to die, but it also provokes the body’s immune response to destroy the cancer.”","The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
CANCER_IS_A_TANGLE,,,,The scientists also believe the techniques used will help them unravel other cancers,"The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
CANCER_IS_A_PUZZLE,,,,People have been [trying] for the past 20 years to piece together how treating patients with arsenic results in the death of leukaemia cells. We have added a major piece to that puzzle.,"The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
CANCER_IS_A_RIDDLE,,,,Scientists solve riddle of arsenic cancer treatment,"The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
CANCER_IS_THE_ENIGMA_OF_A_DETECTIVE_STORY,,,,study the sisters in the hope that they would reveal vital clues about the cause of the disease,"The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
CANCER_IS_THE_ENIGMA_OF_A_DETECTIVE_STORY,,,,"“Despite intense scientific research over the past 20 years, there have been few new leads in our understanding of how this disease operates”.","The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
CANCER_IS_THE_ENIGMA_OF_A_DETECTIVE_STORY,,,,"“...a very small population, only 1% of leukaemia cells, that turn out to be the ring leaders”","The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
(TUMOUR)_CELLS_ARE_HUMAN,,,,an anti-tumour protein which puts cells into hibernation or makes them commit suicide if they start to get cancerous,"The Guardian, analyzed by Camus, Variation of cancer metaphors in scientific texts and press popularisations"
MEDICINE_IS_WAR,,,,"When men and women present with the same acute abdominal pain, women have to wait longer to see a doctor and are less likely to be given painkillers","telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,White blood cells attack pathogens,"bbc.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,Vaccines are many months away and may well not be a silver bullet when they arrive,"telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,A former Charlton Athletic women's player has tragically died aged 20 after a battle with cancer,"dailymail.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"our player Lucy Kerr has been battling cancer over the past months, she'd gone through so much and has been so incredibly brave and strong","dailymail.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,The former intravenous drug user was among the first <…> to be diagnosed in the worst drug-fueled HIV outbreak ever to hit rural America,"npr.org, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"Before the outbreak, addiction to the potent opioid painkiller Opana swept through the community","npr.org, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"Or perhaps it’s significant that when we are fighting bacteria or viruses, our blood is awash with inflammatory molecules that <..>, turning these immune cells into warriors that kill and engulf microbes <…>","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"“I think the infection changes the innate immune cells from helping the tumours to killing them,”","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"the tumorous cells, so that they can attack the cancer again","bbc.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,<…>“immunotherapies” hijack our natural defences to combat cancer,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"“Dengue fever crashes and regroups the immune system, so that it is reset to kill tumour cells,” says Bruce Lyday at PrimeVax","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"Infecting vulnerable patients with a tropical illness may sound foolhardy, but dengue fever is less likely to kill the average adult than the common cold <…>","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,If a pathogen does enter the body then the immune system helps to fight it off,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"Much like Covid-19 that has been found to disproportionally kill and infect black and brown people, Kawasaki disease is also prevalent among African Americans","cnn.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"Women, <…> failing to seek medical advice for a suspected heart attack for fear of being considered a hypochondriac, <…>","telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,The Harry Potter author has been open about her battle with depression,"bbc.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,She has battled other forms of cancer over the past two decades but has continued to fulfil her duties on America’s highest judicial body,"theguardian.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,This left her needing high doses of painkillers which left her unable to eat or d,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"Below, we rounded up celebrities who have spoken candidly about their own battles with everything from postpartum depression to anorexia","insidehook.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"He's also been outspoken about his battle with OCD, which he described as ""a condition that both fuels and hinders me""","insidehook.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"The ""Orange Is the New Black"" star also said that her health battles have made her realize how resilient she is","insidehook.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"An outspoken advocate for mental health awareness, Demi Lovato is open about her battles with bipolar disorder, bulimia, and addiction","insidehook.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"Gaga has also told Paper magazine that she has clinical depression and ""it's a fight all the time""","insidehook.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"In January 2017, Hayden Panettiere offered some advice for fellow moms who have struggled with postpartum depression","insidehook.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"It may not sound as dramatic as saving someone from a heart attack, but this is lifesaving care","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,She said it has ended a close relationship with a mental health nurse who had helped her over the last year to recover from an anxiety attack,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,The body is constantly defending against attacks from pathogens,"bbc.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"It contains hydrochloric acid, and while it does us no harm, it is strong enough to kill any pathogens","bbc.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"On Twitter, he cited ""the attack from the invisible enemy"", as he calls the virus, and the need to protect the jobs of Americans, but did not give details","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,Last year she made a documentary for the BBC in which she spoke about and sought treatment for her regular panic attacks,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,The British-Bangladeshi baker and writer has spoken openly and often about her lifelong struggle with anxiety,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,The 23-time Olympic swimming champion has spoken in the past about his struggles with depression,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,Research suggests the contagion can get deep into our vascular system and even our brains – so how does the virus attack?,"telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,a respiratory virus – one that simply attacks the lungs,"telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"“We are seeing a range of illness; some people develop blood clots, others heart attacks or kidney failure,”","telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,So how does the virus attack?,"telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"It is inside the lungs that the virus turns nasty. It invades the millions of tiny air sacs in the lungs, causing them to become inflamed","telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,“You’re keeping them alive hoping that their own immune system fights the virus”,"telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"The lungs may be ground zero for Covid-19 but scientists think it may also invade the circulatory system, getting deep into our veins","telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,Precisely how the virus attacks the heart and blood vessels remains a mystery,"telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"experts believe infection may cause blood clots, heart attacks and cardiac inflammation","telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,It is unclear whether this happens because the virus attacks the kidneys directly – there is an abundance of ACE2 receptors within the organ,"telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,But as someone who self-harmed as a teenager and experienced panic attacks at university a decade ago,"theguardian.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,Excessive use of painkillers is on the rise,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"Jazmine Allen, 23, who already has a 10-year history of using prescription painkillers, is taking part in the 'Painkillers Don't Exist' campaign","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,which aims to raise awareness that the medications can simply be masking the pain rather than killing it,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,She opted to come off her painkillers and uses exercise to manage her symptoms instead,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,a team has been studying the increasing prevalence of painkiller use,"http://bbc.com/, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,Bacteria normally found in yogurt have been turned into “silver bullets” that could provide a cure for the common cold,"telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"A new type of genetic ""magic bullet"" could make it easier to treat cancers in sensitive areas, scientists believe","telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,Naomi Alderman tells the story of Paul Ehrlich's cure for syphilis and his 'magic bullet' approach using targeted treatments that hit the disease and not the patient,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"In 2015, Lisa Nicole Carson opened up about her battle with bipolar disorder, which sidelined her career for over a decade","insidehook.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"Wayne Brady described his battle with depression and ""constant self-doubt"" in 2014","insidehook.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,Hamm <…> has also talked about the benefits of therapy and antidepressants in his battle with chronic depression,"insidehook.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"Today, fear of dying, anxiety, depression, anger, panic attacks, insomnia and survivor's guilt - all known to affect survivors of natural disasters and war - have emerged as common symptoms","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"Sometimes members of the same family are fighting for their lives in the same hospital, giving patients a different kind of guilt","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"""When one dies, the other tells us the virus should have killed them and not the other,"" says Dr Rizzi","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,The fight at the frontlines of Covid-19 is being waged in clinics and hospitals around the world,"bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,It’s understood that the Wynnum Manly <…> is believed to have suffered a suspected heart attack,"theindependent.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,"Jason Chesney, of the University of Louisville, Kentucky, used the body's own defences to fight the melanoma in his patients","theguardian.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_WAR,,,,The immune system attacks cancers using activated T cells,"theguardian.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_A_DETECTIVE_STORY,,,,"I went for an ultrasound at the Royal Free Hospital, confirming it wasn’t gallstones – but I also had a blood test, which showed my inflammation rate was high, and my platelet count low","telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_A_DETECTIVE_STORY,,,,"Nine years later, she shows no sign of relapse","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_A_DETECTIVE_STORY,,,,"The NHS test, which is highly accurate, looks at antibodies the body produces, which can take some weeks to reach detectable levels","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_A_DETECTIVE_STORY,,,,"Women, <…> failing to seek medical advice for a suspected heart attack for fear of being considered a hypochondriac, <…>","telegraph.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_A_DETECTIVE_STORY,,,,Doctors say there is no evidence the disease has spread elsewhere,"theguardian.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_A_DETECTIVE_STORY,,,,Antonio Cassano shows improvement after suspected stroke,"theguardian.co.uk, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
MEDICINE_IS_A_DETECTIVE_STORY,,,,"A patient treated in a hospital near Paris on 27 December for suspected pneumonia actually had the coronavirus, his doctor has said","bbc.com, analyzed in CONCEPTUAL METAPHORS IN POPULAR
MEDICAL DISCOURSE by Agnė Kaikarytė"
